Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,season_code,agro_zone,crop_category,monsoon_dependent,irrigation_intensity,fertilizer_per_ha,pesticide_per_ha,input_intensity,rainfall_efficiency,yield_log,area_log,production_log,fertilizer_log,rainfall_log,year_normalized,year_squared,decade,State_encoded,Crop_encoded,Season_encoded,agro_zone_encoded,crop_category_encoded,year_bin
Sesamum,2004,Kharif     ,Puducherry,142.0,105,1434.5875,15384.28,29.82,0.445,,Other,oilseeds,0,0.45,108.34,0.21,108.55,0.07314078730833196,0.36810932156439546,4.962844630259907,4.663439094112067,9.641166487135544,7.269329452074776,0.30434782608695654,0.09262759924385634,0,21,43,1,7,3,early
Cotton(lint),2007,Whole Year ,Karnataka,403029.0,704871,1323.3,53764068.6,64484.64,1.809,,Southern_Plateau,others,0,0.45,133.4,0.16,133.56,532.2593068035943,1.0328285481221067,12.90676627984552,13.465771505026654,17.800115950718876,7.1886392969329185,0.43478260869565216,0.1890359168241966,1,12,11,4,8,4,mid
Barley,2001,Rabi       ,Bihar,21300.0,26709,1247.0,2175369.0,5538.0,1.248181818,,Middle_Gangetic,cereals,0,0.65,102.13,0.26,102.39,21.401442307692307,0.8101218086540808,9.966509298952284,10.192793306104006,14.592709322979545,7.129297548929373,0.17391304347826086,0.030245746691871453,0,3,4,2,4,1,early
Tapioca,2000,Whole Year ,Tamil Nadu,109681.0,4017008,971.1,10767383.77,28517.06,36.006,,Southern_Plateau,fruits_veg,0,0.65,98.17,0.26,98.43,4132.299146178377,3.6110800616595244,11.605340548935004,15.206048153816878,16.19203219420466,6.879458679827024,0.13043478260869565,0.017013232514177693,0,24,49,4,8,2,early
Rapeseed &Mustard,2016,Rabi       ,Andhra Pradesh,5060.0,2086,890.0,775445.0,1771.0,0.348333333,,East_Coast,oilseeds,0,0.65,153.25,0.35,153.6,2.3411896745230076,0.29886926159512656,8.529319371214077,7.643482907077201,13.561193626679112,6.792344427470809,0.8260869565217391,0.6824196597353497,1,0,39,2,2,3,late
Bajra,2016,Summer     ,Gujarat,252076.0,629445,710.5,38630647.0,88226.6,2.438214286,,North_Western_Plains,cereals,0,0.65,153.25,0.35000000000000003,153.6,884.673225579761,1.234952233697771,12.437489875376524,13.352595346420063,17.469556509029342,6.567375417529907,0.8260869565217391,0.6824196597353497,1,7,2,3,6,1,late
Rice,2001,Kharif     ,Punjab,2487000.0,8816000,479.3,253997310.0,646620.0,3.517058824,,North_Western_Plains,cereals,0,0.85,102.13,0.26,102.39,18355.194669997916,1.5078610793904161,14.726588124876333,15.992078923804954,19.3528342383126,6.174410908670779,0.17391304347826086,0.030245746691871453,0,22,40,1,6,1,early
Urad,2009,Rabi       ,Andhra Pradesh,346178.0,255694,711.0,53941455.96,58850.26,0.640952381,,East_Coast,pulses,0,0.65,155.82,0.17,155.99,359.1207865168539,0.49527679340537967,12.754711261305584,12.451740606923055,17.80340988606376,6.568077911411976,0.5217391304347826,0.2722117202268431,1,0,52,2,2,6,mid
Wheat,2002,Rabi       ,Punjab,3375000.0,14175000,301.8,319511250.0,843750.0,4.13,,North_Western_Plains,cereals,0,0.85,94.67,0.25,94.92,46813.077939233815,1.6351056591826783,15.03190617858502,16.466990478124824,19.582303045559346,5.713072521563293,0.21739130434782608,0.04725897920604915,0,22,53,2,6,1,early
Dry chillies,2019,Kharif     ,Himachal Pradesh,583.0,276,1217.7,100136.08,215.71,0.484,,Other,others,0,0.45,171.76,0.37,172.13000000000002,0.22647082957249529,0.3947411447451887,6.369900982828227,5.6240175061873385,11.514295326281646,7.1055399958294565,0.9565217391304348,0.9149338374291116,2,9,13,1,7,4,late
Peas & beans (Pulses),2011,Rabi       ,West Bengal,12089.0,10939,1686.5,2025149.28,3989.37,0.876153846,,Lower_Gangetic,others,0,0.85,167.52,0.33,167.85000000000002,6.48237037037037,0.6292238546842913,9.400133943608838,9.300181075975972,14.521154468114856,7.431003422746685,0.6086956521739131,0.37051039697542537,1,29,36,2,3,4,mid
Tobacco,2007,Whole Year ,Tamil Nadu,5903.0,9056,1067.2,787460.2,944.48,1.4625,,Southern_Plateau,cash_crops,0,0.65,133.4,0.16,133.56,8.477813143606065,0.9011770940641068,8.683385366280309,9.111293218374948,13.576569378626857,6.97373026790567,0.43478260869565216,0.1890359168241966,1,24,50,4,8,0,mid
Urad,2005,Rabi       ,West Bengal,8514.0,10212,1650.1,1020998.88,1787.94,0.808181818,,Lower_Gangetic,pulses,0,0.85,119.92,0.21000000000000002,120.13,6.1849675973593365,0.5923218199669572,9.049584593096789,9.2314166975781,13.836292979614964,7.4091970114377865,0.34782608695652173,0.12098298676748581,0,29,52,2,3,6,mid
Sunflower,2000,Rabi       ,Karnataka,261152.0,110005,1213.3,25637291.84,67899.52,0.510434783,,Southern_Plateau,oilseeds,0,0.45,98.17,0.26,98.42999999999999,90.59128716132751,0.4123975451428765,12.472861721449238,11.608290188741549,17.059558600979077,7.101923058059773,0.13043478260869565,0.017013232514177693,0,12,47,2,8,3,early
Soyabean,2011,Kharif     ,Himachal Pradesh,543.0,969,1108.3,90963.36,179.19,1.502857143,,Other,oilseeds,0,0.45,167.52,0.33,167.85,0.8735238438655007,0.9174329365100097,6.298949246855942,6.877296071497429,11.418223060433093,7.011484464744614,0.6086956521739131,0.37051039697542537,1,9,45,1,7,3,mid
Garlic,2012,Whole Year ,Karnataka,4238.0,5531,956.2,639090.4,1313.78,1.385625,,Southern_Plateau,spices,0,0.45,150.8,0.31,151.11,5.778311742582532,0.8694611445173571,8.352082671352637,8.61830469278465,13.36780275912474,6.864012356034218,0.6521739130434783,0.42533081285444235,1,12,14,4,8,7,mid
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123.0,250950,1852.9,31132295.91,101408.13,0.718333333,,Lower_Gangetic,oilseeds,0,0.85,95.17,0.31,95.48,135.3632882032472,0.5413548286068272,12.698094582892352,12.433012979932682,17.25375632414815,7.525046807238547,0.0,0.0,0,29,39,4,3,3,early
Turmeric,2001,Whole Year ,Chhattisgarh,649.0,591,1550.0,66282.37,168.74,1.075333333,,Central_Plateau,spices,0,0.45,102.13,0.26,102.39,0.38104448742746616,0.7301217831906899,6.476972362889683,6.3835066348840055,11.101694315148363,7.346655163176539,0.17391304347826086,0.030245746691871453,0,4,51,4,1,7,early
Jowar,1998,Summer     ,Karnataka,8897.0,23144,1260.8,879023.6,2580.13,2.461333333,,Southern_Plateau,cereals,0,0.45,98.8,0.29000000000000004,99.09,18.342051038199397,1.2416538711973224,9.093581811365986,10.04953405346537,13.686568162623827,7.140294551936709,0.043478260869565216,0.0018903591682419658,0,12,20,3,8,1,early
